movie_name,description,genre
Flow,solitari cat displac great flood find refug boat variou speci must navig challeng adapt transform world togeth,"Animation, Adventure, Fantasy, Family"
Silenced,base actual event took place gwangju india school hearingimpair young deaf student victim repeat sexual assault faculti member period five year earli 2000,Drama
Casablanca,casablanca morocco decemb 1941 cynic american expatri meet former lover unforeseen complic,"Drama, Romance"
My Hero Academia: Heroes Rising,class 1a visit abu island final get real hero work place peac like vacat theyr attack villain unfathom quick power earli familiar look like shigaraki hand plan might retir citizen life line there time question dek friend next gener hero theyr island hope,"Animation, Action, Fantasy, Adventure"
The Kid,trump care boy he abandon newborn mother later mother chang heart acr reunit son,"Comedy, Drama"
Piper,mother bird tri teach littl one find food process encount traumat experi must overcom order surviv,"Family, Animation"
Capernaum,run away neglig parent commit violent crime sentenc five year jail harden streetwis 12yearli lebanes boy sue parent protest life given,Drama
The Truman Show,insur salesman begin suspect whole life actual sort realiti tv show,"Comedy, Drama"
Persona,young nurs alma put charg elizabeth roller actress seemingli healthi respect talk spend time togeth alma speak elizabeth constantli never receiv answer,Drama
Singin' in the Rain,1927 hollywood silent film product compani cast make difficult transit sound,"Comedy, Romance"
Palmer,12 year prison former high school footbal star eddi palmer return home put life back together—and form unlik bond sam outcast boy troubl home eddi past threaten ruin new life famili,Drama
Central Station,emot journey former school teacher write letter illiter peopl young boy whose mother die search father never knew,Drama
Togo,untold true stori set winter 1925 take across treacher terrain alaska tundra exhilar uplift adventur test strength courag determin one man leonard sepal lead sled dog logo,"Adventure, Family"
My Friends,four insepar friend tri face midwif crisi daytrip prank expens famili peopl around,Comedy
Black Clover: Sword of the Wizard King,lionheart boy cant wield magic strive titl wizard king four banish wizard king return crush clover kingdom,"Animation, Fantasy, Action, Adventure"
Dune: Part Two,follow mythic journey paul stride unit chain bremen path reveng conspir destroy famili face choic love life fate known univers paul endeavor prevent terribl futur forese,"Science Fiction, Adventure"
Taxi Driver,mental unstabl vietnam war veteran work nighttim taxi driver new york citi perceiv cadenc pleas feed urg violent action,"Crime, Drama"
8½,guid anselmi film director find creativ barren peak career urg doctor rest anselmi head luxuri resort sorri group gathers—hi produc staff actor wife mistress relatives—each one beg get show retreat depend fantasi past woman dream childhood,Drama
Joker,1980 fail stand comedian driven insan turn life crime chao gotham citi becom infam psychopath crime figur,"Crime, Thriller, Drama"
Violet Evergarden: Eternity and the Auto Memory Doll,violet evergreen come privat women academi tutor isabella way ladi heir york famili isabella feel trap new uncomfort world still griev person ever bring happi – lost violet lesson give brief respit melancholi absenc joy long take truli heal,"Drama, Fantasy, Animation"
Bound by Honor,base true life experi poet jimmi santiago back film focu halfbroth pack cruz racial cousin mile open 1972 three member east la gang known dato loco stori focu violent crime influenc narcot alter life mile incarcer sent san question make home cruz becom except artist heroin addict overcom tragic result pack becom cop enemi canal mile,"Crime, Action, Drama, Thriller"
Terminator 2: Judgment Day,ten year event origin program t800 sent back time protect young john connor shapeshift t1000 togeth mother sarah fight stop skeet trigger nuclear apocalyps,"Action, Thriller, Science Fiction"
There's Still Tomorrow,postwar rome workingclass woman dream better futur daughter face abus hand domin husband mysteri letter arriv discov courag chang circumst life,"Drama, Comedy, History"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,insan gener jack rapper initi nuclear strike soviet union war room full politician gener russian diplomat practic tri stop,"Comedy, War"
Full Metal Jacket,pragmat u marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue,"Drama, War"
